,name,state,address,lat,long
84,Fellowes High School in Pembroke,ON,"420 Bell St, Pembroke, ON K8A 2K5",,
85,Attleboro High School,MA,"100 Rathbun Willard Dr, Attleboro, MA 02703, United States",,
86,Kansas City,KS,,,
87,Kutztown University,PA,"15200 Kutztown Rd, Kutztown, PA 19530, United States",,
88,Highland Park High School,TX,"4220 Emerson Ave, Dallas, TX 75205, United States",,
89,Portsmouth Naval Shipyard,NH,"Kittery, ME 03904, United States",,
90,Providence College,RI,"1 Cunningham Square, Providence, RI 02918, United States",,
91,University of Connecticut,CT,"Storrs, CT 06269, United States",,
92,McKelvie Intermediate School in Bedford,NH,"108 Liberty Hill Rd, Bedford, NH 03110, United States",,
93,State University Oneonta,NY,"108 Ravine Pkwy, Oneonta, NY 13820, United States",,
94,Kewaunee School District Wisconsin,WI,"915 3rd St, Kewaunee, WI 54216, United States",,
95,Brown University,RI,"Providence, RI 02912, United States",,
96,UW Oshkosh,WI,"800 Algoma Blvd, Oshkosh, WI 54901, United States",,
97,New Jersey Institute of Technology,NJ,"323 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, United States",,
98,University of Colorado Boulder,CO,"552 UCB, Boulder, CO 80309-0552",,
99,Quinnipiac University,CT,"275 Mt Carmel Ave, Hamden, CT 06518, United States",,
100,Fort Knox Middle-High School,KY,"266 Maine Street, Bldg 7501. Fort Knox, KY 40121-6812",,
101,Rhode Island colleges,RI,"600 Mt Pleasant Ave, Providence, RI 02908, United States",,
102,University of Wisconsin-River Falls,WI,"410 S 3rd St, River Falls, WI 54022, United States",,
103,University of Alabama TUSCALOOSA,AL,"801 Campus Drive, 206 Student Services Center, Tuscaloosa, AL 35401",,
104,University of Maryland College Park,MD,"College Park, MD 20742, United States",,
105,Ankeny Community School District,IA,"306 SW School St,Ankeny, IA 50023 ",,
106,University of Utah Salt Lake City,UT,"201 Presidents' Cir, Salt Lake City, UT 84112, United States",,
107,Providence College Rhode Island,RI,"1 Cunningham Square, Providence, RI 02918, United States",,
108,Monroe High School,MI,"901 Herr Rd, Monroe, MI 48161, United States",,
109,Edmonton Public School board,AB,"1 Kingsway NW, Edmonton, AB T5H 4G9",,
110,Gannon University,PA,"109 University Square, Erie, PA 16541, United States",,
111,UW-Oshkosh,WI,"800 Algoma Blvd, Oshkosh, WI 54901, United States",,
112, UW-Madison,WI,"333 East Campus Mall #10101,Madison, WI, 53715-1384",,
113,Lighthouse Baptist Church,NY,"3721 White Plains Rd, The Bronx, NY 10467, United States",,
114,State University of New York at Oswego,NY,"7060 NY-104, Oswego, NY 13126, United States",,
115,University of Maryland,MD,"College Park, MD 20742, United States",,
