,id,name,state,address,lat,lng
69,67,Olympia High School,MI,"1302 North Street SE, Olympia, WA 98501, United States",47.01828,-122.88232
70,68,Arizona State University Phoenix,AR,"411 N Central Ave, Phoenix, AZ 85004, United States",33.45343,-112.07322
71,69,University of Wisconsin Madison,WI,"702 West Johnson Street, Suite 1101,Madison, WI 53715-1007",43.07262,-89.39806
72,70,Utah school district SALT LAKE CITY,UT,"440 E 100 S, Salt Lake City, UT 84111, United States",40.76689,-111.87883
73,71,Herzliah High School,QC,"4840 Ave Saint-Kevin, Montreal, Quebec H3W 1P2",45.49034,-73.63145
74,72,Boston College,MA,"140 Commonwealth Avenue, Chestnut Hill, MA 02467, United States",42.3351,-71.17025
75,73,University of New Hampshire Gables apartments,NH,"38 Gables Way Durham , NH 03820",43.14303,-70.93606
76,74,University of South Dakota Sioux,SD,"414 E. Clark St.,Vermillion, SD 57069",42.78261,-96.92495
77,75,Vanderbilt University,TN,"2201 West End Ave, Nashville, TN 37235, United States",36.14912,-86.8036
78,76,Hood College Maryland,MD,"401 Rosemont Ave, Frederick, MD 21701, United States",39.42022,-77.41987
79,77,Elon University,NC,"50 Campus Drive, Elon, NC 27244, United States",36.1057,-79.5029
80,78,Northern Illinois University,IL,"1425 Lincoln Hwy, DeKalb, IL 60115, United States",41.93093,-88.78082
81,79,Howard - Suamico School District Wisconsin,WI,"2706 Lineville Rd Green Bay, WI 54313-7151",44.591,-88.08694
82,80,University of Vermont,VM,"Burlington, VT 05405",44.39957,-73.13985
83,81,University of North Carolina,NC,"130 Mason Farm Road, Chapel Hill, NC 27599",35.90172,-79.05268
84,82,Aberdeen campus Maryland,MD,"6488 Rodman Road, Building 4305 , Room 210, Aberdeen Proving Ground , MD 21005 ",39.4832,-76.13937
85,83,Sacred Heart University,CT,"5151 Park Ave, Fairfield, CT 06825, United States",41.2223,-73.2406
86,84,Fellowes High School in Pembroke,ON,"420 Bell St, Pembroke, ON K8A 2K5",45.8157,-77.0932
87,85,Attleboro High School,MA,"100 Rathbun Willard Dr, Attleboro, MA 02703, United States",41.93772,-71.30305
88,86,Kansas City,KS,,39.099724,-94.578331
89,87,Kutztown University,PA,"15200 Kutztown Rd, Kutztown, PA 19530, United States",40.50988,-75.78382
90,88,Highland Park High School,TX,"4220 Emerson Ave, Dallas, TX 75205, United States",32.84648,-96.80779
91,89,Portsmouth Naval Shipyard,NH,"Kittery, ME 03904, United States",43.09084,-70.73691
92,90,Providence College,RI,"1 Cunningham Square, Providence, RI 02918, United States",41.84423,-71.43931
93,91,University of Connecticut,CT,"Storrs, CT 06269, United States",41.81232,-72.25052
94,92,McKelvie Intermediate School in Bedford,NH,"108 Liberty Hill Rd, Bedford, NH 03110, United States",42.93685,-71.50014
95,93,State University Oneonta,NY,"108 Ravine Pkwy, Oneonta, NY 13820, United States",42.46783,-75.06409
96,94,Kewaunee School District Wisconsin,WI,"915 3rd St, Kewaunee, WI 54216, United States",44.45398,-87.51693
