,title,desciption,url,date
16,"Several Bridgewater State <b>University</b>, Stonehill College students disciplined for off-campus parties during <b>COVID-19</b> pandemic",Students at two local colleges that recently returned to school have been disciplined by administrators for off-campus parties held in violation of school,https://www.tauntongazette.com/news/20200911/several-bridgewater-state-university-stonehill-college-students-disciplined-for-off-campus-parties-during-covid-19-pandemic/1,2020-09-11T22:06:00.0000000Z
17,Is Michigan Gov. Whitmer planning more restrictions after <b>COVID-19</b> <b>outbreaks</b> in Lansing Region?,"As coronavirus (COVID-19) cases continue to spike in areas around Michigan, the governor was asked what it would take for her to issue more restrictions and closures in the state, and specifically, the Lansing Region.",https://www.clickondetroit.com/news/local/2020/09/16/is-michigan-gov-whitmer-planning-more-restrictions-after-covid-19-outbreaks-in-lansing-region/,2020-09-17T00:40:00.0000000Z
18,Bradley <b>University</b> in Peoria quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,"Bradley University in central Illinois is requiring its entire student body to quarantine for two weeks because of clusters of COVID-19 on campus and is reverting to remote learning, officials announced Tuesday.",https://www.stltoday.com/news/local/illinois/bradley-university-in-peoria-quarantines-entire-student-body-after-covid-19-outbreak/article_5012e86a-c469-5c0c-88de-62b419818c35.html,2020-09-09T02:08:00.0000000Z
19,An entire <b>university</b> in Illinois has been told to quarantine after <b>COVID-19</b> <b>outbreak</b> | Charlotte Observer,"Bradley University in Peoria, Illinois, has enacted a mandatory two-week quarantine for its entire student body following a COVID-19 outbreak, the school said Tuesday. The private university has roughly 5,",https://www.charlotteobserver.com/news/nation-world/national/article245592700.html,2020-09-09T16:03:00.0000000Z
20,"Coronavirus <b>outbreak</b> in New Jersey high <b>school</b> caused by back-to-<b>school</b> party, officials say","At least a dozen New Jersey students tested positive for coronavirus after attending a party over Labor Day weekend. As a result of the COVID-19 outbreak, Chatham High School has turned to virtual classes for two weeks,",https://www.foxnews.com/health/coronavirus-outbreak-new-jersey-high-school-back-to-school-party,2020-09-15T14:53:00.0000000Z
21,Toronto <b>school</b> board confirms first case of <b>COVID-19</b> in a student,The Toronto District School Board (TDSB) confirmed that a student had tested positive for COVID-19 on the first day back for in-person classes for many secondary schoolers.,https://www.toronto.com/news-story/10203394-toronto-school-board-confirms-first-case-of-covid-19-in-a-student/,2020-09-18T13:10:00.0000000Z
22,Bradley <b>University</b> quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,Officials at the private university in central Illinois said they have linked a spike in coronavirus cases to off-campus gatherings.,https://www.wqad.com/article/news/health/coronavirus/bradley-university-quarantines-entire-student-body-after-covid-19-outbreak/507-3b9e44dc-b978-4888-9aba-1cfa15ab6b97,2020-09-09T18:25:00.0000000Z
23,Michigan State <b>University</b> students asked to self-quarantine after <b>Covid-19</b> <b>outbreak</b>,Health officials on Saturday asked Michigan State University students to self-quarantine immediately after parties contributed to 342 new coronavarius cases.,https://www.gwinnettdailypost.com/news/world_nation/michigan-state-university-students-asked-to-self-quarantine-after-covid-19-outbreak/article_6e2f32ef-ebdc-52c0-86a8-6e30423144d3.html,2020-09-12T21:28:00.0000000Z
24,<b>School</b> advocacy group asks for more details on <b>COVID-19</b> <b>outbreaks</b>,The public school group SOS Alberta says the government needs to release more information about COVID-19 in schools including cases of isolation.,https://www.660citynews.com/2020/09/10/school-advocacy-group-asks-for-more-details-on-covid-19-outbreaks/,2020-09-10T15:45:00.0000000Z
25,<b>COVID-19</b> <b>outbreak</b> prompts Western <b>University</b> to end non-academic activities,"More than two dozen students at Western University have tested positive for COVID-19, prompting the school to shut down many non-academic activities. The school in London, Ont., said most of the 28 students who received positive tests live off-campus,",https://www.msn.com/en-ca/news/world/covid-19-outbreak-prompts-western-university-to-end-non-academic-activities/ar-BB199snB,2020-09-17T22:28:07.0000000Z
26,This <b>university</b> created its own <b>COVID-19</b> test and is testing students twice a week — but is it enough to prevent an <b>outbreak</b>?,"Over the roughly week and a half that Ian Katsnelson has been back at his college, the <b>University</b> ... spread of <b>COVID-19</b> on campus and in the community, said Robert Jones, the <b>school</b>’s ...",https://www.marketwatch.com/story/this-university-created-its-own-covid-19-test-and-is-testing-students-twice-a-week-experts-are-watching-to-see-if-its-enough-to-prevent-an-outbreak-11598648724,2020-08-31T15:17:00.0000000Z
27,Philadelphia sticking with indoor dining plan despite <b>Covid-19</b> <b>outbreak</b> at Temple <b>University</b>,Philadelphia officials say the city will continue with relaunching modified indoor dining on Sept. 8 as new Covid-19 case counts remain high for a second consecutive day.,https://www.bizjournals.com/philadelphia/news/2020/09/03/indoor-dining-continues-temple-coronavirus-spike.html,2020-09-03T20:09:00.0000000Z
