title,description,link,location,state
"<b>COVID-19</b> at college: Shaming and blaming students can make it worse, experts say","The <b>University</b> of North Carolina-Chapel Hill ... Ultimately, a significant reason for <b>outbreaks</b> of <b>COVID-19</b> at college campuses is significant community transmission where schools are located ...",https://www.nbcnews.com/health/health-news/covid-19-college-shaming-blaming-students-can-make-it-worse-n1239582,University of North Carolina at Chapel Hill,NC
"Two more Colorado K-12 schools, two Greek organizations report <b>COVID-19</b> <b>outbreaks</b>","Pi Beta Phi, a sorority at <b>University</b> of Colorado Boulder ... 36 properties More than 1,200 infected in CU Boulder’s <b>COVID-19</b> <b>outbreak</b> — now the largest in Colorado by far Polis warns of ...",https://www.denverpost.com/2020/09/09/colorado-covid-out-breaks-schools-sorority-fraternity/,University of Colorado,CO
Bradley <b>University</b> quarantines entire student body,"Bradley <b>University</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress. AP file PEORIA ...",https://chicago.suntimes.com/coronavirus/2020/9/9/21428738/bradley-university-quarantines-student-body-coronavirus,Bradley University,IL
Coronavirus <b>outbreak</b> threatens to shut down UW-Madison campus,"A campus <b>COVID-19</b> <b>outbreak</b> at <b>University</b> of Wisconsin-Madison is threatening the semester, a semester that&#39;s not even a week old. Continuing Coverage: Coronavirus in WisconsinThe school added 21 ...",https://www.wisn.com/article/coronavirus-outbreak-threatens-to-shut-down-uw-madison-campus/33960691,UW-Madison,WI
Michigan State <b>University</b> students asked to self-quarantine &#39;immediately&#39; after <b>COVID-19</b> <b>outbreak</b>,"The health department is strongly recommending all local MSU students self-quarantine immediately to contain the <b>outbreak</b> ... the spread of <b>COVID-19</b>,” said Michigan State <b>University</b> Physician ...",https://www.wxyz.com/news/coronavirus/michigan-state-university-students-asked-to-self-quarantine-immediately-after-covid-19-outbreak,Michigan State University,MI
"<b>COVID-19</b> <b>outbreak</b> reported at UConn apartment complex, students told to quarantine",<b>University</b> officials said they “believe it appropriate to characterize this as an <b>outbreak</b> warranting increased medical intervention.” They went on to say it is believed that the <b>COVID-19</b> ...,https://www.wfsb.com/news/covid-19-outbreak-reported-at-uconn-apartment-complex-students-told-to-quarantine/article_2fe569fe-f479-11ea-91c0-db11b4b24b48.html,University of Connecticut,CT
‘We’re in a good place’: <b>University</b> of Lynchburg students return to class after <b>COVID-19</b> <b>outbreak</b> on campus,"Some students at the <b>University</b> of Lynchburg were relieved ... campus house after they were forced to stay in because of a <b>COVID-19</b> <b>outbreak</b> on campus. “We had everyone, as soon as we come ...",https://www.wsls.com/news/local/2020/09/07/were-in-a-good-place-university-of-lynchburg-students-return-to-class-after-covid-19-outbreak-on-campus/,University of Lynchburg,VA
<b>COVID-19</b> Infections Leap Again at <b>University</b> of Georgia,"ATLANTA (AP) — Coronavirus infections continue to spread at the <b>University</b> of Georgia, with the school reporting more than 1,400 new cases of <b>COVID-19</b> in the ... UGA&#39;s <b>outbreak</b> is now the ...",https://www.usnews.com/news/us/articles/2020-09-09/covid-19-infections-leap-again-at-university-of-georgia,University of Georgia,GA
"KDHE releases locations of <b>COVID-19</b> <b>outbreaks</b> across Kansas, including 4 in Douglas County; KU football team listed with 14 cases",The other two county <b>outbreaks</b> are attributed to sports teams: 14 for the <b>University</b> of Kansas football ... KDHE on Wednesday confirmed 496 new cases of <b>COVID-19</b> since data was last released ...,https://www2.ljworld.com/news/state-region/2020/sep/09/kdhe-releases-locations-of-covid-19-outbreaks-across-kansas-including-4-in-douglas-county-ku-football-team-listed-with-14-cases/,University of Kansas,KS
Lack of <b>COVID-19</b> testing at Colorado’s rural universities epitomizes higher education inequities,X Trending: Adams State <b>University</b> President Cheryl ... move-in process and 88 had tested positive for <b>COVID-19</b> as of Thursday. The state’s <b>outbreak</b> database also includes two related to CSU ...,https://www.denverpost.com/2020/08/29/covid-testing-adams-state-university-colorado-college-csu-pueblo-fort-lewis-college-cu-boulder/,Adams State University,CO
Lack of <b>COVID-19</b> testing at Colorado’s rural universities epitomizes higher education inequities,X Trending: Adams State <b>University</b> President Cheryl ... move-in process and 88 had tested positive for <b>COVID-19</b> as of Thursday. The state’s <b>outbreak</b> database also includes two related to CSU ...,https://www.denverpost.com/2020/08/29/covid-testing-adams-state-university-colorado-college-csu-pueblo-fort-lewis-college-cu-boulder/,Colorado State University,CO
Michigan State <b>University</b> Students Asked To Self-Quarantine After <b>Covid-19</b> <b>Outbreak</b>,(CBS DETROIT) – Health officials have asked Michigan State <b>University</b> students to self ... “The exponential growth of <b>COVID-19</b> cases must stop. I am concerned about the health and safety ...,https://detroit.cbslocal.com/2020/09/14/michigan-state-university-students-asked-to-self-quarantine-after-covid-19-outbreak/,Michigan State University,MI
Colleges with <b>Covid-19</b> <b>Outbreaks</b> are Sending Students Home,"1. Some colleges are sending students home to avoid larger <b>outbreaks</b>. James Madison <b>University</b>, North Carolina State <b>University</b>, Colorado College, the State <b>University</b> of New York in Oneonta and ...",https://www.wsj.com/articles/colleges-with-covid-19-outbreaks-are-sending-students-home-11599586753,James Madison University,VA
Colleges with <b>Covid-19</b> <b>Outbreaks</b> are Sending Students Home,"1. Some colleges are sending students home to avoid larger <b>outbreaks</b>. James Madison <b>University</b>, North Carolina State <b>University</b>, Colorado College, the State <b>University</b> of New York in Oneonta and ...",https://www.wsj.com/articles/colleges-with-covid-19-outbreaks-are-sending-students-home-11599586753,Colorado College,CO
Colleges with <b>Covid-19</b> <b>Outbreaks</b> are Sending Students Home,"1. Some colleges are sending students home to avoid larger <b>outbreaks</b>. James Madison <b>University</b>, North Carolina State <b>University</b>, Colorado College, the State <b>University</b> of New York in Oneonta and ...",https://www.wsj.com/articles/colleges-with-covid-19-outbreaks-are-sending-students-home-11599586753,State University of New York,NY
Colleges with <b>Covid-19</b> <b>Outbreaks</b> are Sending Students Home,"1. Some colleges are sending students home to avoid larger <b>outbreaks</b>. James Madison <b>University</b>, North Carolina State <b>University</b>, Colorado College, the State <b>University</b> of New York in Oneonta and ...",https://www.wsj.com/articles/colleges-with-covid-19-outbreaks-are-sending-students-home-11599586753,North Carolina State University,NC
Memphis&#39; game vs. Houston on Sept. 19 postponed after <b>COVID-19</b> <b>outbreak</b> among Tigers players,The full Memphis statement from Friday: The <b>University</b> of Memphis has announced that a number of individuals connected with the Tigers&#39; football program tested positive for <b>COVID-19</b>. These ...,https://sports.yahoo.com/memphis-suspends-football-activities-covid-19-outbreak-player-denies-party-bus-214422140.html,University of Memphis,TN
Western Michigan stops all athletic team workouts after <b>COVID-19</b> <b>outbreak</b>,"Western Michigan <b>University</b> announced on Thursday that all athletic activities have been paused after nine student athletes tested positive for <b>COVID-19</b>, according to multiple media reports.",https://www.freep.com/story/sports/college/2020/09/10/western-michigan-stops-athletic-workouts-after-covid-19-outbreak/3465813001/,Western Michigan University,MI
"As NY colleges respond to <b>COVID-19</b> <b>outbreaks</b>, Cuomo announces new reporting mandate",With <b>COVID-19</b> <b>outbreaks</b> reported at several New York ... if there are spikes in the number of confirmed cases. The State <b>University</b> of New York unveiled a <b>COVID-19</b> tracker over the weekend ...,https://auburnpub.com/news/local/govt-and-politics/as-ny-colleges-respond-to-covid-19-outbreaks-cuomo-announces-new-reporting-mandate/article_236ee745-2392-5c66-8be6-ea2293c07c2d.html,State University of New York,NY
Employees Say Cal State&#39;s <b>COVID-19</b> Policies Are Falling Short,"Kim Neal, right, is chair of the California State <b>University</b> Employees Union at CSU Los Angeles. The union represents clerical and IT workers, custodial staff and others at all 23 CSU campues.",https://laist.com/2020/09/11/cal_state_university_covid-19_policies_employees_criticism.php,California State University Los Angeles,CA
<b>COVID-19</b> <b>outbreak</b> reported in UofA student high rises,TUCSON (KVOA) - A <b>COVID-19</b> <b>outbreak</b> has been detected through contact ... shut down the swimming pools at the high rises around the <b>university</b>. The test Rescue Me Wellness is using is different ...,https://kvoa.com/coronavirus-coverage/2020/09/13/covid-19-outbreak-reported-in-uofa-student-high-rises/,University of Arizona Tuscon,AR
Latest <b>COVID-19</b> data for Lynchburg area shows shifting trends,"<b>COVID-19</b> <b>outbreaks</b> have been reported in new settings ... qualify as <b>outbreaks</b> in educational settings. As of Friday, the <b>University</b> of Lynchburg had 26 positive <b>COVID-19</b> cases among its students ...",https://newsadvance.com/news/local/latest-covid-19-data-for-lynchburg-area-shows-shifting-trends/article_4a1b8bee-65c1-531c-a83c-3d293cafa1c1.html,University of Lynchburg,VA
Students isolating after <b>Covid-19</b> <b>outbreak</b> at Manchester Metropolitan <b>University</b> halls - days after &#39;100-strong&#39; party took place,Several students are isolating at a Manchester Metropolitan University campus following an outbreak of coronavirus.  A spokesman for the university said they are &#39;managing a handful of confirmed cases&#39; in a block of flats at the Birley campus in Hulme.,https://www.msn.com/en-gb/news/newsmanchester/students-isolating-after-covid-19-outbreak-at-manchester-metropolitan-university-halls-days-after-100-strong-party-took-place/ar-BB19cxce,Manchester Metropolitan University,UK
"&#39;This is a long-haul thing&#39;: ASU, UA discuss <b>COVID-19</b> campus <b>outbreaks</b>, brace for possible spike",Both Arizona State <b>University</b> and <b>University</b> of Arizona held virtual meetings Wednesday morning to discuss <b>COVID-19</b> <b>outbreaks</b> among their students and staff in addition to detailing the efforts ...,https://www.msn.com/en-us/news/us/this-is-a-long-haul-thing-asu-ua-discuss-covid-19-campus-outbreaks-brace-for-possible-spike/ar-BB18Soue,University of Arizona,AR
"&#39;This is a long-haul thing&#39;: ASU, UA discuss <b>COVID-19</b> campus <b>outbreaks</b>, brace for possible spike",Both Arizona State <b>University</b> and <b>University</b> of Arizona held virtual meetings Wednesday morning to discuss <b>COVID-19</b> <b>outbreaks</b> among their students and staff in addition to detailing the efforts ...,https://www.msn.com/en-us/news/us/this-is-a-long-haul-thing-asu-ua-discuss-covid-19-campus-outbreaks-brace-for-possible-spike/ar-BB18Soue,Arizona State University,AR
<b>COVID-19</b> <b>outbreak</b> reported at high rises near UArizona campus,"A <b>COVID-19</b> <b>outbreak</b> has been reported at student high rises west of the <b>University</b> of Arizona campus, according to a news release from Ward 6. KGUN Tucson, AZ ABC News Like us on Facebook to see ...",https://www.msn.com/en-us/news/us/covid-19-outbreak-reported-at-high-rises-near-uarizona-campus/vi-BB18ZRjv,University of Arizona,AR
<b>COVID-19</b> LIVE UPDATES: Missouri reports 773 new confirmed cases of coronavirus on Tuesday,"The <b>University</b> of Kansas held classes on ... 7:30 a.m. -- Johnson County reported Tuesday morning 8,783 cases of <b>COVID-19</b> since the <b>outbreak</b> started. The county said it has 5,985 presumed ...",https://www.msn.com/en-us/news/us/covid-19-live-updates-ku-students-strike-to-protest-campus-opening-during-coronavirus-outbreak/ar-BB18OVZX,University of Kansas,KS
Western <b>University</b> testing trailer hits capacity following <b>COVID-19</b> <b>outbreak</b>,The testing trailer was met with busy lines after a number of students tested positive for the novel coronavirus.,https://www.msn.com/en-ca/news/world/western-university-testing-trailer-hits-capacity-following-covid-19-outbreak/ar-BB192p1x,"Western University, London, ON",ON
<b>COVID-19</b> <b>outbreaks</b> at colleges worry experts as some students continue to ignore health rules,"Coronavirus <b>outbreaks</b> continue on college campuses ... he&#39;s optimistic the company will know if its vaccine works by the end of October, while Oxford <b>University</b> announced its vaccine trials with AstraZeneca would resume after they were paused to ...",https://news.yahoo.com/covid-19-outbreaks-colleges-worry-120112066.html,Oxford University,UK
