title,description,link,location,state
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,Colgate University,NY
Cuomo: <b>COVID-19</b> a Problem on New York Campuses,"The governor said at a briefing that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b>, SUNY Oswego, Colgate <b>University</b> and SUNY ...",https://www.usnews.com/news/best-states/new-york/articles/2020-09-08/cuomo-covid-19-a-problem-on-new-york-campuses,State University of New York at Oswego,NY
<b>Covid-19</b> <b>outbreak</b> and the RAT rage,"The second half of 2020 has seen the rise of the Rapid Antigen Test (RAT) for diagnosis of <b>Covid-19</b>, as a quirky reminder ... Pettengill from Thomas Jefferson <b>University</b>, Philadelphia.",https://www.financialexpress.com/opinion/covid-19-outbreak-and-the-rat-rage/2079250/,Thomas Jefferson University,PA
<b>University</b> of Tennessee turns to at-home and wastewater tests to help stop COVID spike,"The <b>university</b> found early signs of <b>COVID-19</b> in a dorm and was able to stop a larger <b>outbreak</b>. That would also be the goal of wastewater testing at UT, Plowman and Gregg said. UT has seen nine ...",https://www.knoxnews.com/story/news/education/2020/09/11/university-tennessee-increase-covid-19-testing-cases-climb/5760814002/,University of Tennessee,TN
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.sacbee.com/news/article245586280.html,Bradley University,IL
Memphis vs Houston football game on Friday postponed after Tigers&#39; <b>COVID-19</b> <b>outbreak</b>,"After a <b>COVID-19</b> <b>outbreak</b> within the Memphis football program ... players recover from positive <b>COVID-19</b> tests, contact tracing <b>University</b> of Memphis announces new mascot, TOM IV, will be ...",https://www.commercialappeal.com/story/sports/college/memphis-tigers/2020/09/12/memphis-houston-football-postponed-covid-19-outbreak/5771750002/,University of Memphis,TN
Memphis pauses football after <b>COVID-19</b> <b>outbreak</b>,18 game against the <b>University</b> of Houston is in jeopardy ... Memphis pauses football after <b>COVID-19</b> <b>outbreak</b> originally appeared on Pro Football Talk,https://sports.yahoo.com/memphis-pauses-football-covid-19-221312929.html,University of Houston,TX
Influenza season could create ‘perfect storm’ for <b>COVID-19</b> <b>outbreaks</b>,"Marrazzo stressed that, amid <b>COVID-19</b> <b>outbreaks</b> on college campuses ... AM (Hon), an IDSA fellow and professor of medicine at Brown <b>University</b>’s Warren Alpert Medical School, noted that the ...",https://www.healio.com/news/infectious-disease/20200910/influenza-season-could-create-perfect-storm-for-covid19-outbreaks,Brown University,RI
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.thestate.com/news/article245586280.html,Bradley University,IL
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.bnd.com/news/article245586280.html,Bradley University,IL
"More cats might be <b>COVID-19</b> positive than first believed, study suggests","where the first known <b>outbreak</b> of <b>COVID-19</b> began, shows more cats might be contracting the disease than first believed. Researchers from Huazhong Agricultural <b>University</b>, in the Chinese city ...",https://phys.org/news/2020-09-cats-covid-positive-believed.html,Huazhong Agricultural University,"Wuhan, China"
Cuomo attributes college COVID <b>outbreaks</b> to out-of-staters,"Andrew Cuomo attributed multiple <b>COVID-19</b> <b>outbreaks</b> at dozens of state ... than 100 new coronavirus cases each, including <b>outbreaks</b> at Cornell <b>University</b>, Colgate <b>University</b>, Hofstra <b>University</b> ...",https://www.thedailynewsonline.com/news/cuomo-attributes-college-covid-outbreaks-to-out-of-staters/article_1c81dd08-84f3-55c6-9ed3-bfaa7a04be65.html,Cornell University,NY
Cuomo attributes college COVID <b>outbreaks</b> to out-of-staters,"Andrew Cuomo attributed multiple <b>COVID-19</b> <b>outbreaks</b> at dozens of state ... than 100 new coronavirus cases each, including <b>outbreaks</b> at Cornell <b>University</b>, Colgate <b>University</b>, Hofstra <b>University</b> ...",https://www.thedailynewsonline.com/news/cuomo-attributes-college-covid-outbreaks-to-out-of-staters/article_1c81dd08-84f3-55c6-9ed3-bfaa7a04be65.html,Colgate University,NY
Cuomo attributes college COVID <b>outbreaks</b> to out-of-staters,"Andrew Cuomo attributed multiple <b>COVID-19</b> <b>outbreaks</b> at dozens of state ... than 100 new coronavirus cases each, including <b>outbreaks</b> at Cornell <b>University</b>, Colgate <b>University</b>, Hofstra <b>University</b> ...",https://www.thedailynewsonline.com/news/cuomo-attributes-college-covid-outbreaks-to-out-of-staters/article_1c81dd08-84f3-55c6-9ed3-bfaa7a04be65.html,Hofstra University,NY
Memphis vs. Houston game postponed after <b>COVID-19</b> <b>outbreak</b>,"MEMPHIS, Tenn. (WMC) - The Memphis Tigers game Friday against the Houston Cougars is postponed after a <b>COVID-19</b> <b>outbreak</b> connected to the Tigers football program. The <b>University</b> of Memphis made ...",https://www.wmcactionnews5.com/2020/09/12/reports-memphis-vs-houston-game-postponed-after-covid-outbreak/,University of Memphis,TN
"<b>COVID-19</b> has overwhelmed some college campuses. At area universities, case numbers remain relatively small.","Appalachian State <b>University</b> has reported more <b>COVID-19</b> ... In May and June, Appalachian State (two) and UNCG (one) had <b>COVID-19</b> <b>outbreaks</b> among construction subcontractors working on campus ...",https://journalnow.com/news/local/covid-19-has-overwhelmed-some-college-campuses-at-area-universities-case-numbers-remain-relatively-small/article_985c735a-f3a3-11ea-9c1a-ab660fb817fe.html,Appalachian State University,NC
Newton mayor relays concerns about rising <b>COVID-19</b> cases to Boston College officials,In the midst of a growing <b>outbreak</b> of <b>COVID-19</b> cases at Boston College ... according to testing numbers published Saturday by the <b>university</b>. Thirty of the college’s 750 varsity athletes ...,https://www.bostonglobe.com/2020/09/12/metro/newton-mayor-relays-concerns-about-rising-covid-19-cases-boston-college-officials/,Boston College,MA
U.S. Has Its Deadliest Day in More Than Two Weeks: Virus Update,The <b>University</b> of Oxford is resuming trials ... the first sanction against a meatpacker connected with a deadly <b>Covid-19</b> <b>outbreak</b>. The fine levied against Smithfield drew outrage as inadequate ...,https://www.bloomberg.com/news/articles/2020-09-11/u-s-cases-rise-0-8-texas-nears-14-000-deaths-virus-update,University of Oxford,UK
New <b>COVID-19</b> Projections Show Mixed Picture of Community Spread from College Campus <b>Outbreaks</b>,"9, 2020 /PRNewswire/ -- New four-week <b>COVID-19</b> case projections released ... which experienced significant <b>outbreaks</b> on the campuses of the <b>University</b> of North Carolina and North Carolina State ...",https://markets.businessinsider.com/news/stocks/new-covid-19-projections-show-mixed-picture-of-community-spread-from-college-campus-outbreaks-1029575509,University of North Carolina,NC
Cuomo: <b>COVID-19</b> a problem on New York campuses,"Andrew Cuomo said Tuesday that <b>COVID-19</b> <b>outbreaks</b> at colleges are already ... that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b> ...",https://libn.com/2020/09/09/cuomo-covid-19-a-problem-on-new-york-campuses/,Cornell University,NY
Cuomo: <b>COVID-19</b> a problem on New York campuses,"Andrew Cuomo said Tuesday that <b>COVID-19</b> <b>outbreaks</b> at colleges are already ... that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b> ...",https://libn.com/2020/09/09/cuomo-covid-19-a-problem-on-new-york-campuses/,University at Buffalo,NY
Cuomo: <b>COVID-19</b> a problem on New York campuses,"Andrew Cuomo said Tuesday that <b>COVID-19</b> <b>outbreaks</b> at colleges are already ... that six other colleges in New York had seen <b>outbreaks</b>: Cornell <b>University</b>, <b>University</b> at Buffalo, Hofstra <b>University</b> ...",https://libn.com/2020/09/09/cuomo-covid-19-a-problem-on-new-york-campuses/,Hofstra University,NY
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.stamfordadvocate.com/news/article/Bradley-quarantines-student-body-after-COVID-19-15551721.php,Bradley University,IL
"After 342 new <b>COVID-19</b> cases in 3 weeks, Michigan State students urged to self-quarantine",EAST LANSING – Health officials are strongly recommending Michigan State <b>University</b> students living in or near East Lansing self-quarantine immediately following a surge in <b>COVID-19</b> cases.,https://www.freep.com/story/news/local/2020/09/12/michigan-state-msu-covid-19-surge-quarantine-recommended/5779168002/,Michigan State University,MI
MSU students asked to self-quarantine &#39;immediately&#39; after <b>COVID-19</b> <b>outbreak</b>,"The health department is strongly recommending all local MSU students self-quarantine immediately to contain the <b>outbreak</b> ... the spread of <b>COVID-19</b>,” said Michigan State <b>University</b> Physician ...",https://www.fox17online.com/news/local-news/michigan/msu-students-asked-to-self-quarantine-immediately-after-covid-19-outbreak,Michigan State University,MI
Bradley quarantines student body after <b>COVID-19</b> <b>outbreak</b>,"PEORIA, Ill. (AP) — Bradley <b>University</b> in central Illinois is requiring its entire student body to quarantine for two weeks because of a <b>COVID-19</b> <b>outbreak</b>, and is reverting to remote learning.",https://wsiltv.com/2020/09/08/bradley-quarantines-student-body-after-covid-19-outbreak/,Bradley University,IL
"Wastewater testing at CSU shows signs of <b>COVID-19</b> at Moby Arena, Durrell Center",The Colorado Department of Public Health and Environment has reported two “<b>outbreaks</b>” of <b>COVID-19</b> on the CSU campus. Twenty-four of the <b>university</b>’s varsity athletes and/or staff members had ...,https://www.coloradoan.com/story/news/education/2020/09/08/wastewater-testing-colorado-state-university-more-traces-covid-19/5752844002/,Colorado State University Denver,CO
WMU athletics the latest to shut down amid spike in <b>COVID-19</b> cases,Western Michigan has become the latest college athletic department in the state to shut down sports amid a <b>COVID-19</b> <b>outbreak</b>. The <b>university</b> sent out a media alert Thursday night citing nine ...,https://www.detroitnews.com/story/sports/college/2020/09/11/wmu-athletics-latest-shut-down-amid-spike-covid-19-cases/3467171001/,Western Michigan University,MI
Bradley <b>University</b> quarantines entire student body after <b>COVID-19</b> <b>outbreak</b>,"In announcing the measure, the <b>university</b> said it has tallied about 50 <b>COVID-19</b> cases so far, adding emergency measures are needed to respond to the <b>outbreak</b> without disrupting academic progress.",https://www.wkyc.com/article/news/health/coronavirus/bradley-university-quarantines-entire-student-body-after-covid-19-outbreak/507-3b9e44dc-b978-4888-9aba-1cfa15ab6b97,Bradley University,IL
Dane County calls on UW to close dorms following campus <b>COVID-19</b> <b>outbreaks</b>,Parisi said 46 separate <b>outbreaks</b> are tied to the campus ... Hundreds of UW Greek life members to get tested after <b>COVID-19</b> outbreakPublic Health Madison &amp; Dane County and the <b>University</b> of Wisconsin directed nine fraternities and sororities in off ...,https://badgerherald.com/news/2020/09/09/dane-county-calls-on-uw-to-close-dorms-following-campus-covid-19-outbreaks/,UW-Madison,WI
"Frats, Sororities in St. Louis Metro Hoping to Avoid <b>COVID-19</b> <b>Outbreaks</b>",has been the center of coronavirus <b>outbreaks</b> at college campuses thus far. The <b>University</b> of Missouri’s school newspaper reported multiple <b>COVID-19</b> cases in at least two fraternities on August 18.,https://www.riverfronttimes.com/newsblog/2020/09/10/frats-sororities-in-st-louis-metro-hoping-to-avoid-covid-19-outbreaks,University of Missouri St.Louis,MS
Ingham Co. health officials take emergency action after <b>COVID-19</b> <b>outbreak</b> is linked to MSU students,"EAST LANSING, Mich. (WXYZ) — The Ingham County Health Department is taking emergency action after a severe <b>outbreak</b> of <b>COVID-19</b> linked to students at Michigan State ...",https://www.wxyz.com/news/coronavirus/ingham-county-health-officials-take-emergency-action-after-covid-19-outbreak-is-linked-to-msu-students,Michigan State University,MI
