,title,desciption,url,provider,date
15,About 80% of Asymptomatic People With <b>COVID-19</b> Develop Symptoms,A meta-analysis from Switzerland and study from South Korea reach the same estimate — that only about 20% of asymptomatic people with COVID-19 remain so over time.,https://www.medscape.com/viewarticle/938195,Medscape,2020-09-28T18:12:00.0000000Z
16,Michigan State <b>University</b> pushes forward with football amid a mass spike in <b>COVID-19</b> cases,"Since August 24, there have been 1,250 cases of COVID-19 linked to the reopening of Michigan State University (MSU). The university has officially recorded 499 positive cases, which both the university and the Ingham County Health Department have acknowledged is an underestimation of the true number of cases.",https://www.wsws.org/en/articles/2020/09/28/mich-s28.html,World Socialist Web Site,2020-09-28T05:24:00.0000000Z
17,<b>COVID-19</b>: How do Salisbury <b>University</b> and UMES compare,"Salisbury University and the University of Maryland Eastern Shore sit less than 15 miles from one another, but the effects from COVID-19 have been very different.",https://www.delmarvanow.com/story/news/2020/09/28/covid-19-how-do-salisbury-university-and-umes-compare/5852586002/,DelmarvaNow,2020-09-28T10:14:00.0000000Z
18,Glasgow <b>University</b> to refund one month’s rent after <b>Covid-19</b> <b>outbreak</b>,The return of students to universities has led to a spike in the number of coronavirus cases across the country.,https://www.msn.com/en-gb/news/uknews/glasgow-university-to-refund-one-months-rent-after-covid-19-outbreak/ar-BB19rGei,PA Media on MSN.com,2020-09-26T12:52:52.0000000Z
19,Elon <b>University</b> reports <b>COVID-19</b> <b>outbreak</b> among student-athletes,"Elon University said it has identified a COVID-19 cluster among football student-athletes. ELON, N.C. — Elon University said since Tuesday at least 21 student-athletes tested positive for COVID-19. That includes a cluster of cases among football student-athletes.",https://www.wfmynews2.com/article/news/health/coronavirus/elon-university-reports-covid-19-outbreak-among-student-athletes/83-425ae37a-3cd1-4a87-825c-fe21907e100e,WFMY News2,2020-09-18T03:11:00.0000000Z
20,Opposition mounts at the <b>University</b> of Michigan as <b>COVID-19</b> <b>outbreaks</b> emerge on campus,"The <b>University</b> of Michigan reported on Thursday that a cluster of <b>COVID-19</b> cases had been confirmed in South Quad Residence Hall, primarily on the sixth and eighth floors. The <b>outbreaks</b> were reported just one day after a nearly two-week-long strike by the ...",https://www.wsws.org/en/articles/2020/09/22/mich-s22.html,World Socialist Web Site,2020-09-22T00:00:00.0000000Z
21,"One <b>COVID-19</b> Shot, Two Approaches","Just as two heads are proverbially better than one, so two approaches to fighting COVID-19 are likely to double the odds of success against the virus, reasons a Cambridge, MA-based vaccine developer with key operations in Canada and Israel.",https://www.genengnews.com/gen-edge/one-covid-19-shot-two-approaches/,GEN,2020-09-28T18:13:00.0000000Z
22,"York County has 67 new cases of <b>COVID-19</b>, no new deaths","Of those cases, 44 were reported Sunday and 23 were reported Monday. There were no new deaths linked to COVID-19 during that time period, leaving the death toll at 156.",https://www.yorkdispatch.com/story/news/local/2020/09/28/york-county-has-67-new-cases-covid-19-no-new-deaths/3561948001/,The York Dispatch,2020-09-28T18:55:00.0000000Z
23,2 Temple <b>University</b> Students Fighting For Partial Tuition Refund After <b>COVID-19</b> <b>Outbreak</b> Forces College To All Remote Learning,"In-person learning lasted just two weeks and after an outbreak of COVID-19 on campus, all classes are now being taught online.",https://philadelphia.cbslocal.com/2020/09/17/2-temple-university-students-fighting-for-partial-tuition-refund-after-covid-19-outbreak-forces-college-to-all-remote-learning/,CBS Boston / WBZ,2020-09-18T02:23:00.0000000Z
24,Regis <b>University</b> quarantines Residence Village for 2 weeks due to <b>COVID-19</b> <b>outbreak</b>,Regis University said it is implementing a two-week quarantine of Residence Village due to a COVID-19 outbreak traced to the village.,https://kdvr.com/news/coronavirus/regis-university-quarantines-residence-village-for-2-weeks-due-to-covid-19-outbreak/,FOX31 Denver,2020-09-16T17:27:00.0000000Z
25,Study: ECMO appears to help critically ill <b>COVID-19</b> patients,"The life-support option known as ECMO appears to help many of the critically ill COVID-19 patients who received it, according to a study led by a University of Michigan researcher.",https://www.clickondetroit.com/news/local/2020/09/28/study-ecmo-appears-to-help-critically-ill-covid-19-patients/,clickondetroit.com,2020-09-28T17:35:00.0000000Z
26,<b>University</b> of Minnesota transitions to step 2 of fall <b>COVID-19</b> plan,"University of Minnesota campuses around the state have transitioned to the second step of its fall COVID-19 safety plan.  Step two loosens restrictions that were in place for the first week and change of the academic year,",https://bringmethenews.com/minnesota-news/university-of-minnesota-transitions-to-step-2-of-fall-covid-19-plan,Bring Me The News,2020-09-28T17:59:00.0000000Z
